timestamp,close,open,low,high,volume
966000600,420.0,408.0,384.0,448.0,792500
966259800,384.0,418.9984130859375,384.0,420.0,80200
966346200,388.0,388.9984130859375,384.0,396.0,48400
966432600,396.0,386.0,386.0,418.0,42100
966519000,384.0,392.0,382.0,400.0,47200
966605400,458.0,400.9984130859375,396.0,460.0,60400
966864600,486.0,482.0,446.0,520.0,66500
966951000,432.0,492.0,432.0,502.0,33800
967037400,416.0,434.0,408.0,440.0,17900
967123800,386.0,414.0,386.0,418.0,18400
967210200,412.0,402.0,388.0,414.0,20100
967469400,420.0,428.9984130859375,400.0,433.4975891113281,19400
967555800,428.0,430.0,404.0,432.0,22700
967642200,454.0,426.9984130859375,424.0,470.0,19800
967728600,518.0,482.0,476.0,528.0,87300
967815000,504.0,516.0,480.0,520.0,27700
968160600,498.0,506.0,496.0,520.0,23000
968247000,496.0,516.0,488.0,520.0,20500
968333400,460.0,512.0,428.0,512.0,23900
968419800,448.0,456.49920654296875,440.0,464.0,15900
968679000,444.0,442.0,432.0,448.0,34500
968765400,416.0,434.9984130859375,412.0,442.0,33800
968851800,400.0,408.0,396.0,420.0,10300
968938200,406.0,444.0,400.0,444.0,8100
969024600,402.0,402.0,400.0,416.0,3600
969283800,386.0,420.0,382.0,424.0,18600
969370200,360.0,418.9984130859375,344.0,420.0,48000
969456600,332.0,368.0,312.0,370.0,24100
969543000,340.0,330.0,326.0,344.0,25200
969629400,338.0,306.9984130859375,302.0,346.0,8400
969888600,302.0,340.0,300.0,346.0,21000
969975000,296.0,316.0,288.0,318.0,19600
970061400,298.9984130859375,300.9984130859375,276.0,302.0,16700
970147800,320.0,296.0,292.0,344.0,22000
970234200,284.0,322.9984130859375,278.9984130859375,324.0,19100
970493400,272.0,300.0,268.0,300.9984130859375,6800
970579800,254.0,274.9984130859375,248.0,284.0,10100
970666200,228.0,256.0,216.0,258.0,14600
970752600,210.0,222.0,208.0,260.0,15100
970839000,194.99839782714844,222.49920654296875,190.0,224.0,11400
971098200,198.0,210.0,184.99839782714844,214.0,10600
971184600,182.0,202.0,176.0,204.0,13200
971271000,132.0,168.0,130.0,184.0,42400
971357400,166.0,162.99839782714844,144.0,168.0,37200
971443800,242.0,182.0,176.99839782714844,252.0,42800
971703000,260.0,260.0,236.0,262.0,38500
971789400,250.0,272.0,244.0,274.0,11000
971875800,258.0,248.0,190.0,268.0,19300
971962200,220.99839782714844,272.0,216.0,298.0,25900
972048600,234.0,240.0,224.0,240.0,21700
972307800,264.0,236.0,228.0,268.9984130859375,17800
972394200,270.0,265.4975891113281,260.0,272.0,19700
972480600,272.0,267.4975891113281,252.0,272.0,13200
972567000,290.0,270.9984130859375,270.0,308.0,8700
972653400,288.0,291.4975891113281,276.0,292.0,3300
972916200,286.0,286.0,276.0,300.0,7600
973002600,312.0,292.0,280.0,328.0,10400
973089000,312.0,311.4975891113281,306.0,336.0,11500
973175400,296.0,311.4975891113281,284.0,316.0,7800
973261800,292.0,286.9984130859375,286.9984130859375,302.0,7700
973521000,284.0,296.0,278.0,300.0,9700
973607400,284.0,288.0,280.0,288.0,6600
973693800,258.0,284.0,240.99839782714844,284.0,20900
973780200,252.99839782714844,240.0,240.0,256.0,12600
973866600,238.0,244.49920654296875,238.0,248.0,18100
974125800,226.0,222.0,218.0,226.0,13700
974212200,212.0,224.99839782714844,208.0,234.0,15700
974298600,202.0,220.0,202.0,222.0,20400
974385000,202.99839782714844,208.49920654296875,200.0,212.0,3900
974471400,212.0,218.99839782714844,204.0,220.0,14100
974730600,202.0,208.99839782714844,202.0,210.0,5400
974817000,198.0,202.99839782714844,198.0,208.0,8200
974903400,192.0,200.0,192.0,200.0,11400
975076200,192.99839782714844,194.49920654296875,192.0,196.0,1800
975335400,192.0,204.0,190.0,212.0,5200
975421800,174.0,196.0,172.0,196.0,3900
975508200,156.0,174.0,144.0,178.0,17000
975594600,140.0,152.0,136.0,154.99839782714844,10600
975681000,154.0,140.0,138.99839782714844,162.0,6800
975940200,158.0,154.99839782714844,154.99839782714844,164.0,2400
976026600,162.0,162.49920654296875,156.0,166.0,4700
976113000,154.0,160.99839782714844,146.0,162.0,5100
976199400,144.0,152.99839782714844,144.0,166.0,13600
976285800,176.0,152.0,152.0,192.0,5700
976545000,176.0,176.99839782714844,176.0,186.0,2500
976631400,212.0,181.4976043701172,176.0,234.0,10000
976717800,226.0,235.4976043701172,220.0,244.0,6600
976804200,224.0,233.4976043701172,218.0,234.0,4900
976890600,214.0,222.49920654296875,214.0,225.4976043701172,2500
977149800,186.99839782714844,226.99839782714844,180.0,228.0,3100
977236200,178.0,172.99839782714844,164.0,190.0,5000
977322600,156.0,176.0,150.0,178.49920654296875,8200
977409000,130.0,144.0,126.0,148.0,16700
977495400,128.0,146.49920654296875,128.0,148.0,14100
977841000,126.0,130.0,122.0,142.0,10900
977927400,122.0,126.0,112.0,128.0,6900
978013800,112.0,120.0,104.0,122.0,30800
978100200,140.0,110.99839782714844,110.0,152.0,16700
978445800,114.0,141.4976043701172,108.0,142.0,13500
978532200,116.0,110.0,104.0,144.0,26100
978618600,116.0,125.49759674072266,112.0,134.0,9700
978705000,128.0,120.0,114.0,130.0,5000
978964200,126.0,128.0,120.0,130.0,5200
979050600,118.99839782714844,128.0,114.0,128.0,2300
979137000,122.0,120.99839782714844,114.0,124.0,5600
979223400,124.0,122.0,114.99839782714844,130.0,7700
979309800,148.0,125.49759674072266,125.49759674072266,148.0,17100
979655400,160.0,152.0,144.0,168.0,6400
979741800,180.0,168.0,166.0,192.0,6900
979828200,186.0,189.4976043701172,184.0,196.0,6800
979914600,188.0,188.0,184.0,194.0,9100
980173800,192.0,192.0,184.0,200.0,8400
980260200,204.0,192.49920654296875,190.0,208.0,4200
980346600,224.0,216.49920654296875,202.0,240.0,13100
980433000,208.0,222.0,208.0,224.0,5700
980519400,192.0,190.0,176.0,196.0,7800
980778600,194.0,196.99839782714844,192.0,204.0,2800
980865000,190.0,198.0,188.0,198.0,2500
980951400,190.0,193.4976043701172,184.0,200.0,8200
981037800,192.0,190.0,188.99839782714844,198.0,1500
981124200,192.0,192.0,188.0,194.0,1200
981383400,172.0,190.99839782714844,172.0,190.99839782714844,2200
981469800,168.99839782714844,160.0,156.0,172.99839782714844,3200
981556200,196.0,168.99839782714844,166.0,196.0,4100
981642600,208.0,210.0,200.0,224.0,15300
