symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
^GSPC, S&P 500, Index,,,
^DJI, Dow Jones Industrial Average, Index,,,
^IXIC, NASDAQ Composite, Index,,,
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1800
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",796343
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",1122304
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",1004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",915913
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",884629
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",352541
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",899866
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1579241
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215
